Reporter Identifier	VALUE
ILMN_1343291	13.8978522
ILMN_1343295	10.7274478
ILMN_1651199	3.32192809
ILMN_1651209	3.32192809
ILMN_1651210	3.32192809
ILMN_1651221	3.32192809
ILMN_1651228	12.8088721
ILMN_1651229	5.53798638
ILMN_1651230	3.32192809
ILMN_1651232	3.32192809
ILMN_1651235	3.32192809
ILMN_1651237	3.32192809
ILMN_1651238	3.32192809
ILMN_1651249	3.32192809
ILMN_1651253	3.32192809
ILMN_1651254	8.40617452
ILMN_1651259	4.81431434
ILMN_1651262	9.66867648
ILMN_1651278	7.18436847
ILMN_1651279	4.2065518
ILMN_1651281	3.32192809
ILMN_1651282	4.74613376
ILMN_1651285	3.32192809
ILMN_1651288	3.32192809
ILMN_1651296	4.08843944
ILMN_1651303	3.32192809
ILMN_1651310	3.32192809
ILMN_1651315	8.10034273
ILMN_1651316	7.13329329
ILMN_1651325	3.32192809
ILMN_1651328	3.32192809
ILMN_1651329	3.32192809
ILMN_1651336	4.89789869
ILMN_1651339	3.32192809
ILMN_1651341	3.32192809
ILMN_1651343	3.32192809
ILMN_1651346	7.07134534
ILMN_1651347	8.50120159
ILMN_1651351	3.32192809
ILMN_1651354	3.32192809
ILMN_1651358	3.32192809
ILMN_1651364	3.84660918
ILMN_1651365	3.32192809
ILMN_1651369	3.32192809
ILMN_1651370	3.32192809
ILMN_1651373	3.32192809
ILMN_1651378	7.21915101
ILMN_1651380	3.32192809
ILMN_1651385	7.05097522
ILMN_1651388	3.32192809
ILMN_1651395	3.71642907
ILMN_1651396	3.32192809
ILMN_1651403	6.58698282
ILMN_1651404	3.3239234
ILMN_1651405	8.5340885
ILMN_1651408	3.32192809
ILMN_1651415	3.32192809
ILMN_1651428	3.32192809
ILMN_1651429	4.17666027
ILMN_1651433	8.0017765
ILMN_1651435	3.32192809
ILMN_1651437	3.32192809
ILMN_1651438	6.42166247
ILMN_1651447	3.32192809
ILMN_1651453	3.32192809
ILMN_1651456	3.32192809
ILMN_1651457	3.32192809
ILMN_1651464	3.32192809
ILMN_1651466	3.32192809
ILMN_1651470	3.32192809
ILMN_1651477	3.32192809
ILMN_1651486	3.32192809
ILMN_1651488	3.32192809
ILMN_1651490	3.32192809
ILMN_1651492	3.32192809
ILMN_1651495	3.32192809
ILMN_1651496	8.86325216
ILMN_1651498	3.32192809
ILMN_1651499	5.2292731
ILMN_1651501	3.32192809
ILMN_1651504	6.11942949
ILMN_1651506	4.90835419
ILMN_1651507	3.4611461
ILMN_1651508	3.32192809
ILMN_1651513	7.36925343
ILMN_1651520	3.32192809
ILMN_1651532	3.32288717
ILMN_1651535	3.32192809
ILMN_1651538	3.32192809
